order_id,order_time,delivery_time,restaurant,cuisine,total_amount,rating,location,city,ordered_qty,book_table,online_order,distance_km
ORD_0149,2023-11-28 08:55:00,,Corner House,Fast Food,144.19,NEW,Indiranagar,Bnegaluru,8,Yes,No,
ORD_0150,2023-11-01 03:53:00,2023-11-01 04:28:00,Taco Bell,Japanese,120.11,,Banashankari,bengaluru,3,Yes,Yes,13.06
ORD_0151,2023-10-18 01:19:00,2023-10-18 02:12:00,Meghana Foods,North Indian,26.12,NEW,Kengeri,Bnegaluru,3,,Yes,4.59
ORD_0152,2023-10-20 12:47:00,,Pizza Hut,Coffee,53.5,4.0/5,HSR Layout,Bengaluru,6,,No,
ORD_0153,2023-10-20 04:43:00,,Empire Restaurant,Chinese,12.95,3.2/5,Banashankari,Bengaluru ,7,,,
ORD_0154,2023-10-14 19:30:00,,Meghana Foods,Biryani,122.36,4.8/5,JP Nagar,bengaluru,6,,,
ORD_0155,2023-11-25 01:28:00,,Taco Bell,Indian,87.15,4.0/5,Whitefield,Bengaluru ,1,Yes,No,
ORD_0156,2023-10-04 17:49:00,2023-10-04 18:43:00,Leon Grill,Mughlai,87.16,,RR Nagar,Bengaluru ,4,,Yes,5.18
ORD_0157,2023-11-09 06:50:00,,Burger King,Japanese,7.37,4.4/5,Indiranagar,bengaluru,8,,No,
ORD_0158,2023-12-06 19:38:00,,Burger King,Continental,37.79,NEW,Basavanagudi,Bengaluru ,3,No,,
ORD_0159,2023-11-05 13:15:00,,Leon Grill,Italian,61.11,4.0/5,Whitefield,Bnegaluru,6,,,
ORD_0160,2023-11-10 07:53:00,2023-11-10 08:09:00,Nandhini,North Indian,50.12,3.4/5,RR Nagar,Bengaluru,3,No,Yes,3.68
ORD_0161,2023-11-29 22:02:00,,Corner House,Chinese,82.92,4.0/5,Kengeri,Bengaluru ,3,,No,
ORD_0162,2023-10-17 13:37:00,,Mainland China,South Indian,134.26,2.3/5,Koramangala,bengaluru,4,,No,
ORD_0163,2023-11-15 20:21:00,,Sushi Zen,Desserts,22.91,NEW,Whitefield,Bengaluru,2,,No,
ORD_0164,2023-10-04 19:51:00,2023-10-04 20:33:00,Leon Grill,Italian,75.68,,Indiranagar,Bengaluru ,3,Yes,Yes,12.88
ORD_0165,2023-12-28 17:15:00,,Truffles,South Indian,39.46,NEW,RR Nagar,Bnegaluru,8,,No,
ORD_0166,2023-12-12 22:30:00,2023-12-12 23:28:00,Leon Grill,Indian,33.2,,Banashankari,Bengaluru ,3,,Yes,11.32
ORD_0167,2023-11-13 09:16:00,,Burger King,Mexican,104.26,4.0/5,Electronic City,Bnegaluru,3,,,
ORD_0168,2023-11-17 16:26:00,2023-11-17 17:15:00,Sushi Zen,Coffee,22.53,NEW,Banashankari,Bengaluru,8,No,Yes,7.64
ORD_0169,2023-10-19 02:31:00,,Burger King,Coffee,76.22,NEW,Basavanagudi,bengaluru,4,,No,
ORD_0170,2023-11-15 17:25:00,,Vidyarthi Bhavan,Italian,130.72,,Kengeri,Bengaluru,5,Yes,,
ORD_0171,2023-10-26 03:59:00,,Taco Bell,Mexican,115.99,NEW,Banashankari,Bnegaluru,2,,,
ORD_0172,2023-11-16 21:21:00,,Burger King,Continental,115.66,,Banashankari,Bengaluru ,6,,No,
ORD_0173,2023-12-17 14:35:00,,Empire Restaurant,Indian,88.94,NEW,JP Nagar,Bnegaluru,7,,No,
ORD_0174,2023-11-25 16:57:00,,Pizza Hut,Mexican,33.37,4.0/5,Electronic City,Bnegaluru,2,,,
ORD_0175,2023-12-05 14:21:00,,Taco Bell,Desserts,78.58,3.8/5,Whitefield,Bengaluru ,4,Yes,,
ORD_0176,2023-11-03 21:47:00,,Pizza Hut,North Indian,92.18,NEW,Marthahalli,Bnegaluru,1,,,
ORD_0177,2023-10-31 21:06:00,,Pizza Hut,Mexican,119.92,,Kengeri,Bnegaluru,3,No,,
ORD_0178,2023-12-01 10:35:00,,Truffles,Continental,86.71,,Basavanagudi,Bengaluru ,6,,,
ORD_0179,2023-11-18 19:59:00,2023-11-18 20:37:00,Empire Restaurant,Continental,64.09,NEW,Basavanagudi,Bengaluru ,8,,Yes,6.63
ORD_0180,2023-10-26 19:00:00,,Empire Restaurant,Italian,37.42,NEW,Banashankari,bengaluru,6,,,
ORD_0181,2023-11-18 06:12:00,,McD,Biryani,27.42,3.0 / 5,Whitefield,Bengaluru ,6,No,,
ORD_0182,2023-12-27 20:03:00,,Burger King,Italian,74.82,4.0/5,Malleshwaram,Bnegaluru,3,,No,
ORD_0183,2023-11-03 20:23:00,,Meghana Foods,Biryani,111.16,4.9/5,Indiranagar,bengaluru,8,,No,
ORD_0184,2023-12-13 13:32:00,,Sushi Zen,Mexican,47.43,4.0/5,Malleshwaram,Bengaluru ,7,,No,
ORD_0185,2023-10-20 15:58:00,2023-10-20 16:27:00,Corner House,Chinese,87.66,3.2/5,Electronic City,Bengaluru,4,No,Yes,11.58
ORD_0186,2023-12-21 17:50:00,,Truffles,Indian,107.72,4.0/5,Basavanagudi,bengaluru,7,No,,
ORD_0187,2023-12-26 10:44:00,,Leon Grill,Biryani,63.02,3.0 / 5,BTM Layout,bengaluru,2,,No,
ORD_0188,2023-11-18 11:01:00,,Leon Grill,Desserts,62.95,,Banashankari,bengaluru,3,Yes,No,
ORD_0189,2023-10-10 09:49:00,,Burger King,South Indian,25.62,NEW,Jayanagar,Bnegaluru,6,No,No,
ORD_0190,2023-12-09 17:32:00,2023-12-09 18:37:00,Starbucks,North Indian,61.92,4.0/5,Jayanagar,Bengaluru ,6,No,Yes,4.86
ORD_0191,2023-10-06 06:27:00,,Truffles,Desserts,36.24,NEW,BTM Layout,Bengaluru ,8,Yes,,
ORD_0192,2023-10-18 20:11:00,2023-10-18 20:34:00,Burger King,South Indian,38.47,NEW,JP Nagar,bengaluru,2,,Yes,8.91
ORD_0193,2023-12-21 17:18:00,,Nandhini,Chinese,76.24,4.0/5,Kengeri,bengaluru,3,Yes,,
ORD_0194,2023-12-09 14:41:00,2023-12-09 15:39:00,Sushi Zen,Italian,46.58,3.0 / 5,Marthahalli,Bengaluru ,3,,Yes,5.94
ORD_0195,2023-12-11 15:21:00,2023-12-11 16:25:00,Toit,Italian,94.97,3.6/5,JP Nagar,Bengaluru,7,,Yes,7.84
ORD_0196,2023-11-09 21:22:00,,Leon Grill,Desserts,73.4,NEW,Malleshwaram,bengaluru,5,Yes,No,
ORD_0197,2023-11-11 11:00:00,,Corner House,Mexican,96.55,4.0/5,Malleshwaram,Bengaluru,2,Yes,,
ORD_0198,2023-12-10 07:09:00,2023-12-10 07:47:00,Corner House,Fast Food,6.26,4.0/5,Jayanagar,bengaluru,1,Yes,Yes,14.49
ORD_0199,2023-11-22 04:05:00,2023-11-22 05:02:00,Sushi Zen,Fast Food,60.26,NEW,Basavanagudi,bengaluru,4,,Yes,6.62
ORD_0200,2023-12-23 16:27:00,,Truffles,Fast Food,34.49,3.0 / 5,BTM Layout,Bengaluru ,5,,No,
ORD_0201,2023-10-07 07:06:00,2023-10-07 08:10:00,Toit,Desserts,127.08,NEW,BTM Layout,Bnegaluru,7,,Yes,1.37
ORD_0202,2023-12-20 01:53:00,2023-12-20 02:27:00,Toit,Desserts,148.5,4.0/5,HSR Layout,Bengaluru ,1,No,Yes,6.2
ORD_0203,2023-10-28 10:58:00,2023-10-28 11:53:00,Toit,Fast Food,102.12,2.8/5,Banashankari,Bengaluru,2,,Yes,5.65
ORD_0204,2023-10-11 00:04:00,,Nandhini,Japanese,41.81,2.5/5,Electronic City,Bnegaluru,7,,No,
ORD_0205,2023-11-18 07:36:00,2023-11-18 08:09:00,Pizza Hut,Continental,122.45,3.9/5,JP Nagar,Bnegaluru,3,Yes,Yes,7.43
ORD_0206,2023-10-28 07:56:00,,Pizza Hut,Mughlai,82.38,3.0 / 5,Hebbal,bengaluru,1,Yes,,
